GROUP,SCPT
HEADING,LOCA_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP2,SCPT_REM
UNIT,,m,MPa,MPa,MPa,
TYPE,ID,3DP,4DP,4DP,4DP,X
DATA,CPT03,0.01,0.0574,0.0047,0.0005,
DATA,CPT03,0.04,0.5167,0.0113,0.1017,
DATA,CPT03,0.065,1.6763,0.0124,0.0496,
DATA,CPT03,0.09,2.4686,0.0189,0.0178,
DATA,CPT03,0.114,2.8819,0.0189,0.0226,
DATA,CPT03,0.141,3.2493,0.0266,0.0232,
DATA,CPT03,0.167,2.9967,0.0404,0.0232,
DATA,CPT03,0.193,2.7097,0.0414,0.0178,
DATA,CPT03,0.218,3.146,0.045,0.0232,
DATA,CPT03,0.241,4.2138,0.0505,0.0244,
DATA,CPT03,0.264,5.7638,0.0656,0.0436,
DATA,CPT03,0.289,5.6145,0.0748,0.0562,
DATA,CPT03,0.313,4.8797,0.0852,0.0987,
DATA,CPT03,0.338,4.363,0.1037,0.0645,
DATA,CPT03,0.363,3.9842,0.113,0.0615,
DATA,CPT03,0.387,3.6742,0.1169,0.0316,
DATA,CPT03,0.411,3.8693,0.1142,0.0178,
DATA,CPT03,0.437,4.363,0.1124,0.0472,
DATA,CPT03,0.462,3.9152,0.1152,0.0035,
DATA,CPT03,0.487,3.4216,0.1124,0.0017,
